CityName,RegionName,Address,DeptNm,BranchNm,Longitude,Latitude,direct,limit
宜蘭縣,宜蘭市,台9線78k中山路五段南下,宜蘭縣政府警察局,宜蘭分局,121.75933,24.778543,南北雙向,60
宜蘭縣,宜蘭市,中山路1段560號前北上,宜蘭縣政府警察局,宜蘭分局,121.76105,24.738028,南北雙向,60
宜蘭縣,宜蘭市,宜16線5.5K南津路東向,宜蘭縣政府警察局,宜蘭分局,121.76466,24.71843,東西雙向,50
宜蘭縣,宜蘭市,台9線79k+550m環市東路與192甲線路口北上,宜蘭縣政府警察局,宜蘭分局,121.770744,24.767035,南北雙向,70
宜蘭縣,宜蘭市,台9線80k+700m環市東路黎霧橋南端南下,宜蘭縣政府警察局,宜蘭分局,121.771355,24.756819,南北雙向,70
宜蘭縣,宜蘭市,台9線81k+595m環市東路北上,宜蘭縣政府警察局,宜蘭分局,121.77163,24.74875,南北雙向,70
宜蘭縣,宜蘭市,台7線123k+900m東港段西向,宜蘭縣政府警察局,宜蘭分局,121.77766,24.749315,東西雙向,60
宜蘭縣,羅東鎮,公正路324號東西雙向,宜蘭縣政府警察局,羅東分局,121.76142,24.68059,東西雙向,40
宜蘭縣,羅東鎮,台7丙線28k+98m中山路東向,宜蘭縣政府警察局,羅東分局,121.78949,24.672573,東西雙向,60
宜蘭縣,蘇澳鎮,台9線100k+224m新城段北上,宜蘭縣政府警察局,蘇澳分局,121.821266,24.615463,南北雙向,60
宜蘭縣,蘇澳鎮,台9線117k+772m新澳隧道北上,宜蘭縣政府警察局,蘇澳分局,121.83023,24.490236,北上方向,40
宜蘭縣,蘇澳鎮,台9線102k+200m聖湖段南下,宜蘭縣政府警察局,蘇澳分局,121.83417,24.60313,南北雙向,60
宜蘭縣,蘇澳鎮,台9線109k+240m東澳隧道南下,宜蘭縣政府警察局,蘇澳分局,121.84039,24.551931,南下方向,70
宜蘭縣,蘇澳鎮,台9線103k+562m南下,宜蘭縣政府警察局,蘇澳分局,121.84053,24.59536,南北雙向,50
宜蘭縣,蘇澳鎮,台2線164k+390m港邊段南下,宜蘭縣政府警察局,蘇澳分局,121.85278,24.611954,南北雙向,70
宜蘭縣,蘇澳鎮,台2線166k+259m蘇澳港段南下,宜蘭縣政府警察局,蘇澳分局,121.856255,24.598513,南北雙向,60
宜蘭縣,蘇澳鎮,台2戊線12k+215m移山路北上,宜蘭縣政府警察局,蘇澳分局,121.8595,24.590792,南北雙向,60
宜蘭縣,頭城鎮,台9線69k+20m北宜路一段南下,宜蘭縣政府警察局,礁溪分局,121.79265,24.84562,南北雙向,60
宜蘭縣,頭城鎮,台9線68.6K北宜路一段南下,宜蘭縣政府警察局,礁溪分局,121.79389,24.849024,南北雙向,40
宜蘭縣,頭城鎮,台9線68k+600m至56k+600m,宜蘭縣政府警察局,礁溪分局,121.79389,24.849024,南北雙向(區間測速),40
宜蘭縣,頭城鎮,宜3線3k+850m宜三路南下,宜蘭縣政府警察局,礁溪分局,121.79603,24.84921,南北雙向,50
宜蘭縣,頭城鎮,191甲線2k+50m中崙段南下,宜蘭縣政府警察局,礁溪分局,121.80138,24.828068,南北雙向,60
宜蘭縣,頭城鎮,台2線139k+738m竹安段南下,宜蘭縣政府警察局,礁溪分局,121.82069,24.824112,南北雙向,60
宜蘭縣,頭城鎮,台2線133k+769m港口段南下,宜蘭縣政府警察局,礁溪分局,121.83554,24.871765,南北雙向,60
宜蘭縣,頭城鎮,台2線131k+121m外澳段南下,宜蘭縣政府警察局,礁溪分局,121.85049,24.891298,南北雙向,50
宜蘭縣,頭城鎮,台2線129k+309m梗枋國小南下,宜蘭縣政府警察局,礁溪分局,121.86346,24.900974,南北雙向,50
宜蘭縣,頭城鎮,台2線128k+65m梗枋地磅站北上,宜蘭縣政府警察局,礁溪分局,121.87091,24.906073,南北雙向,60
宜蘭縣,頭城鎮,台2線123k+642m大溪段北上,宜蘭縣政府警察局,礁溪分局,121.89127,24.939224,南北雙向,50
宜蘭縣,頭城鎮,台2線118k+49m大里段南下,宜蘭縣政府警察局,礁溪分局,121.92609,24.970085,南北雙向,50
宜蘭縣,礁溪鄉,191線4K瑪僯段北上,宜蘭縣政府警察局,礁溪分局,121.78079,24.79072,南北雙向,60
宜蘭縣,礁溪鄉,份尾三路北上(份尾橋南側100公尺處),宜蘭縣政府警察局,礁溪分局,121.78401,24.8297,南北雙向,50
宜蘭縣,礁溪鄉,191甲線6k+600m玉田段北上,宜蘭縣政府警察局,礁溪分局,121.784225,24.789581,南北雙向,60
宜蘭縣,礁溪鄉,宜4線4k+280m大塭段東向,宜蘭縣政府警察局,礁溪分局,121.810684,24.818115,東西雙向,50
宜蘭縣,壯圍鄉,宜16線7k+500m新南段西向,宜蘭縣政府警察局,礁溪分局,121.783035,24.720304,東西雙向,50
宜蘭縣,壯圍鄉,宜9線3k+100m中央路三段南下,宜蘭縣政府警察局,礁溪分局,121.79351,24.761602,南北雙向,60
宜蘭縣,壯圍鄉,宜16線9k+500m美福段東向,宜蘭縣政府警察局,礁溪分局,121.80265,24.719269,東西雙向,50
宜蘭縣,壯圍鄉,宜20線1k+150m新南段西向,宜蘭縣政府警察局,礁溪分局,121.808556,24.727465,東西雙向,60
宜蘭縣,壯圍鄉,台2線147k+40m過嶺國小南下,宜蘭縣政府警察局,礁溪分局,121.81548,24.758747,南北雙向,60
宜蘭縣,壯圍鄉,台2線148k+400m後埤段北上,宜蘭縣政府警察局,礁溪分局,121.816315,24.746742,南北雙向,60
宜蘭縣,壯圍鄉,台2線142k+480m大福段北上,宜蘭縣政府警察局,礁溪分局,121.81658,24.79972,南北雙向,60
宜蘭縣,壯圍鄉,台2線150k+199m公館段南下,宜蘭縣政府警察局,礁溪分局,121.81915,24.73036,南北雙向,60
宜蘭縣,員山鄉,台7線113k+357m內城段東向,宜蘭縣政府警察局,宜蘭分局,121.700935,24.717842,東西雙向,60
宜蘭縣,員山鄉,宜18-2線9k深溝段西向,宜蘭縣政府警察局,宜蘭分局,121.709625,24.707457,東西雙向,60
宜蘭縣,員山鄉,台7線115k+865m八甲段西向,宜蘭縣政府警察局,宜蘭分局,121.71639,24.732752,東西雙向,60
宜蘭縣,員山鄉,宜61線900m深溝段南下,宜蘭縣政府警察局,宜蘭分局,121.717964,24.720016,南北雙向,60
宜蘭縣,員山鄉,宜61線1k+200m深溝段北上,宜蘭縣政府警察局,宜蘭分局,121.71865,24.71743,南北雙向,60
宜蘭縣,員山鄉,宜18-2線溪洲路346號東向,宜蘭縣政府警察局,宜蘭分局,121.738594,24.714243,東西雙向,50
宜蘭縣,員山鄉,宜18-2線溪洲路150號西向,宜蘭縣政府警察局,宜蘭分局,121.748116,24.719,東西雙向,50
宜蘭縣,冬山鄉,台9線94k+450m冬山段南下,宜蘭縣政府警察局,羅東分局,121.78557,24.645603,南北雙向,60
宜蘭縣,五結鄉,宜22線1k+500m二結段東向,宜蘭縣政府警察局,羅東分局,121.76619,24.710798,東西雙向,60
宜蘭縣,五結鄉,宜25線1K五結中路三段東向,宜蘭縣政府警察局,羅東分局,121.78074,24.703253,東西雙向,50
宜蘭縣,五結鄉,191線與宜24線路口南下,宜蘭縣政府警察局,羅東分局,121.791145,24.688986,南北雙向,60
宜蘭縣,五結鄉,191線與196線路口北上,宜蘭縣政府警察局,羅東分局,121.79258,24.683813,南北雙向,60
宜蘭縣,五結鄉,台7丙線29K+743M親河路西向,宜蘭縣政府警察局,羅東分局,121.80519,24.673485,東西雙向,60
宜蘭縣,五結鄉,宜22線6k錦草段西向,宜蘭縣政府警察局,羅東分局,121.81058,24.709387,東西雙向,60
宜蘭縣,五結鄉,台2線157k+200m利澤段北上,宜蘭縣政府警察局,羅東分局,121.82835,24.664686,南北雙向,60
宜蘭縣,三星鄉,196線3k+800m萬富段東向,宜蘭縣政府警察局,三星分局,121.67725,24.677273,東西雙向,60
宜蘭縣,三星鄉,台7丙線18k+342m大隱段東向,宜蘭縣政府警察局,三星分局,121.697624,24.667261,東西雙向,60
宜蘭縣,三星鄉,台7丙線19k+865m大隱段西向,宜蘭縣政府警察局,三星分局,121.71217,24.670204,東西雙向,60
宜蘭縣,三星鄉,196線7k+900m大埔段西向,宜蘭縣政府警察局,三星分局,121.71839,24.687069,東西雙向,60
宜蘭縣,三星鄉,宜61線3k+600m大洲段南下,宜蘭縣政府警察局,三星分局,121.72788,24.69807,南北雙向,60
宜蘭縣,三星鄉,宜61線3k+800m大洲段北上,宜蘭縣政府警察局,三星分局,121.72893,24.696066,南北雙向,60
宜蘭縣,三星鄉,196線11k大洲段東向,宜蘭縣政府警察局,三星分局,121.74223,24.700827,東西雙向,50
宜蘭縣,南澳鄉,台9線139k+667m谷風隧道北上,宜蘭縣政府警察局,蘇澳分局,121.7668,24.347893,北上方向,70
宜蘭縣,南澳鄉,台9線138k+677m谷風隧道南下,宜蘭縣政府警察局,蘇澳分局,121.771545,24.355694,南下方向,70
宜蘭縣,南澳鄉,台9線129k+404m至136k+883m(觀音隧道),宜蘭縣政府警察局,蘇澳分局,121.77481,24.433311,南北雙向(區間測速),70
